Front,Back,Concept,ImageFilename,Prompt
"the coffee","el café","cafe","el-cafe-card.jpg","A realistic photo of the interior of a cozy European cafe. No visible words, letters, signs, logos, labels, menus, or watermarks anywhere in the image. Warm lighting, clean composition, instantly recognizable as a cafe place rather than just a single drink."
"the train","el tren","train","el-tren-card.jpg","A realistic photo of a passenger train at a station platform, with the train as the clear main subject. No visible words, letters, station names, platform numbers, logos, labels, or watermarks anywhere in the image. Clean composition, easy for a language learner to recognize instantly."
"the beer","la cerveza","beer","la-cerveza-card.jpg","A realistic photo of a glass of beer on a simple cafe or restaurant table, with the beer as the clear main subject. No visible words, letters, logos, labels, menus, branding, or watermarks anywhere in the image. Clean composition, natural lighting, instantly recognizable as beer for a language learner."
"the water","el agua","water","el-agua-card.jpg","A clean realistic educational image of a clear glass of water on a simple table, with water as the unmistakable main subject. No visible words, letters, logos, labels, branding, or watermarks anywhere in the image. Bright natural lighting and uncluttered composition for an Anki flashcard."
"the bathroom","el baño","bathroom","el-bano-card.jpg","A clean realistic educational image of a bright bathroom with a toilet and sink visible, clearly recognizable as a bathroom. No visible words, letters, logos, labels, branding, or watermarks anywhere in the image. Uncluttered composition for an Anki flashcard."
"the table","la mesa","table","la-mesa-card.jpg","A clean realistic educational image of a simple wooden table as the clear main subject. No visible words, letters, logos, labels, branding, or watermarks anywhere in the image. Uncluttered composition for an Anki flashcard."
"the playground","el parque infantil","playground","el-parque-infantil-card.jpg","A clean realistic educational flashcard image of a children's playground as the clear main subject, with swings, a slide, and safe play structures visible in a park setting. No children or people. No visible words, letters, signs, logos, labels, branding, or watermarks anywhere in the image. Bright natural daylight, uncluttered composition, instantly recognizable as a playground for a language learner."
"blue","azul","blue","color-blue-card.jpg","A plain square swatch of the color blue (#1e88e5) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
"yellow","amarillo / amarilla","yellow","color-yellow-card.jpg","A plain square swatch of the color yellow (#fdd835) for a language-learning flashcard. No words, letters, logos, labels, or watermark."
the body,el cuerpo,body,el-cuerpo-card.jpg,"A simple clean educational illustration of the body, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the head,la cabeza,head,la-cabeza-card.jpg,"A simple clean educational illustration of the head, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the hair,el pelo,hair,el-pelo-card.jpg,"A simple clean educational illustration of the hair, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the face,la cara,face,la-cara-card.jpg,"A simple clean educational illustration of the face, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the eye,el ojo,eye,el-ojo-card.jpg,"A simple clean educational illustration of the eye, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the ear,la oreja,ear,la-oreja-card.jpg,"A simple clean educational illustration of the ear, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the nose,la nariz,nose,la-nariz-card.jpg,"A simple clean educational illustration of the nose, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the mouth,la boca,mouth,la-boca-card.jpg,"A simple clean educational illustration of the mouth, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the tooth,el diente,tooth,el-diente-card.jpg,"A simple clean educational illustration of the tooth, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the tongue,la lengua,tongue,la-lengua-card.jpg,"A simple clean educational illustration of the tongue, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the neck,el cuello,neck,el-cuello-card.jpg,"A simple clean educational illustration of the neck, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the shoulder,el hombro,shoulder,el-hombro-card.jpg,"A simple clean educational illustration of the shoulder, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the arm,el brazo,arm,el-brazo-card.jpg,"A simple clean educational illustration of the arm, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the elbow,el codo,elbow,el-codo-card.jpg,"A simple clean educational illustration of the elbow, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the wrist,la muñeca,wrist,la-muneca-card.jpg,"A simple clean educational illustration of the wrist, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the hand,la mano,hand,la-mano-card.jpg,"A simple clean educational illustration of the hand, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the finger,el dedo,finger,el-dedo-card.jpg,"A simple clean educational illustration of the finger, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the thumb,el pulgar,thumb,el-pulgar-card.jpg,"A simple clean educational illustration of the thumb, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the chest,el pecho,chest,el-pecho-card.jpg,"A simple clean educational illustration of the chest, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the back,la espalda,back,la-espalda-card.jpg,"A simple clean educational illustration of the back, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the stomach,el estómago,stomach,el-estomago-card.jpg,"A simple clean educational illustration of the stomach, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the leg,la pierna,leg,la-pierna-card.jpg,"A simple clean educational illustration of the leg, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the thigh,el muslo,thigh,el-muslo-card.jpg,"A simple clean educational illustration of the thigh, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the knee,la rodilla,knee,la-rodilla-card.jpg,"A simple clean educational illustration of the knee, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the ankle,el tobillo,ankle,el-tobillo-card.jpg,"A simple clean educational illustration of the ankle, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the foot,el pie,foot,el-pie-card.jpg,"A simple clean educational illustration of the foot, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the toe,el dedo del pie,toe,el-dedo-del-pie-card.jpg,"A simple clean educational illustration of the toe, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the skin,la piel,skin,la-piel-card.jpg,"A simple clean educational illustration of the skin, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the bone,el hueso,bone,el-hueso-card.jpg,"A simple clean educational illustration of the bone, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
the heart,el corazón,heart,el-corazon-card.jpg,"A simple clean educational illustration of the heart, with the target body part clearly emphasized. No words, letters, labels, logos, or watermark."
