Front,Back
"the water (el agua)","el agua"
"el agua","the water"
"the coffee (el café)","el café"
"el café","the coffee"
"the beer (la cerveza)","la cerveza"
"la cerveza","the beer"
"the table (la mesa)","la mesa"
"la mesa","the table"
"the bathroom (el baño)","el baño"
"el baño","the bathroom"
"the train (el tren)","el tren"
"el tren","the train"
"the ticket (el billete)","el billete"
"el billete","the ticket"
"the street (la calle)","la calle"
"la calle","the street"
"the store (la tienda)","la tienda"
"la tienda","the store"
"the account / bill (la cuenta)","la cuenta"
"la cuenta","the account / bill"
