Front,Back
"to want","querer"
"querer","to want"
"to need","necesitar"
"necesitar","to need"
"to be (permanent)","ser"
"ser","to be (permanent)"
"to be (temporary)","estar"
"estar","to be (temporary)"
"to have","tener"
"tener","to have"
"to go","ir"
"ir","to go"
"to do / make","hacer"
"hacer","to do / make"
"to understand","entender"
"entender","to understand"
"to know","saber"
"saber","to know"
"to look for","buscar"
"buscar","to look for"
"where","dónde"
"dónde","where"
"how","cómo"
"cómo","how"
"when","cuándo"
"cuándo","when"
"now","ahora"
"ahora","now"
"with","con"
"con","with"
"without","sin"
"sin","without"
"more","más"
"más","more"
"expensive","caro"
"caro","expensive"
"hot","caliente"
"caliente","hot"
"cold","frío"
"frío","cold"
"left","izquierda"
"izquierda","left"
"right","derecha"
"derecha","right"
"question","pregunta"
"pregunta","question"
"error / mistake","error"
"error","error / mistake"
